Trade, Price, TimeStamp, PointValue, slippage, position
Buy , 57.74, 2005-03-15 12:00, 42000, 19.5, 1
Sell, 57.7022, 2005-03-15 12:05, 42000, 19.5, 0
Buy , 57.76, 2005-03-15 12:10, 42000, 19.5, 1
Sell, 58.0819, 2005-03-15 12:45, 42000, 19.5, 0
Sell, 57.07, 2005-03-17 11:00, 42000, 19.5, -1
Buy , 56.7667, 2005-03-17 11:10, 42000, 19.5, 0
Sell, 56.71, 2005-03-21 09:35, 42000, 19.5, -1
Buy , 56.6766, 2005-03-21 09:45, 42000, 19.5, 0
Sell, 56.62, 2005-03-21 09:55, 42000, 19.5, -1
Buy , 56.6666, 2005-03-21 10:00, 42000, 19.5, 0
Sell, 56.61, 2005-03-21 10:40, 42000, 19.5, -1
Buy , 56.4964, 2005-03-21 10:50, 42000, 19.5, 0
Sell, 56.44, 2005-03-21 10:55, 42000, 19.5, -1
Buy , 56.1961, 2005-03-21 11:05, 42000, 19.5, 0
Sell, 56.12, 2005-03-21 12:25, 42000, 19.5, -1
Buy , 56.046, 2005-03-21 12:35, 42000, 19.5, 0
Sell, 55.99, 2005-03-21 12:40, 42000, 19.5, -1
Buy , 55.9459, 2005-03-21 12:50, 42000, 19.5, 0
Sell, 55.89, 2005-03-21 13:10, 42000, 19.5, -1
Buy , 55.9359, 2005-03-21 13:15, 42000, 19.5, 0
Sell, 55.88, 2005-03-23 09:35, 42000, 19.5, -1
Buy , 55.6456, 2005-03-23 09:40, 42000, 19.5, 0
Buy , 56.24, 2005-03-24 10:50, 42000, 19.5, 1
Sell, 56.3736, 2005-03-24 11:00, 42000, 19.5, 0
Buy , 56.43, 2005-03-24 13:05, 42000, 19.5, 1
Sell, 56.4035, 2005-03-24 13:10, 42000, 19.5, 0
Buy , 56.47, 2005-03-24 13:15, 42000, 19.5, 1
Sell, 56.4335, 2005-03-28 09:40, 42000, 19.5, 0
Buy , 56.49, 2005-03-28 11:30, 42000, 19.5, 1
Sell, 56.4735, 2005-03-28 11:35, 42000, 19.5, 0
Buy , 56.53, 2005-03-28 12:00, 42000, 19.5, 1
Sell, 56.5334, 2005-03-28 12:05, 42000, 19.5, 0
Buy , 56.59, 2005-03-30 10:20, 42000, 19.5, 1
Sell, 56.5934, 2005-03-30 10:25, 42000, 19.5, 0
Buy , 56.65, 2005-03-30 10:55, 42000, 19.5, 1
Sell, 57.1828, 2005-03-30 11:10, 42000, 19.5, 0
Buy , 57.24, 2005-03-31 09:40, 42000, 19.5, 1
Sell, 57.3326, 2005-03-31 09:50, 42000, 19.5, 0
Sell, 56.24, 2005-04-01 10:10, 42000, 19.5, -1
Buy , 55.9459, 2005-04-01 10:30, 42000, 19.5, 0
Sell, 55.89, 2005-04-01 10:55, 42000, 19.5, -1
Buy , 55.8958, 2005-04-01 11:00, 42000, 19.5, 0
Sell, 55.84, 2005-04-01 12:30, 42000, 19.5, -1
Buy , 55.8458, 2005-04-01 12:40, 42000, 19.5, 0
Sell, 55.79, 2005-04-01 12:45, 42000, 19.5, -1
Buy , 55.8458, 2005-04-01 12:50, 42000, 19.5, 0
Buy , 56.44, 2005-04-07 09:40, 42000, 19.5, 1
Sell, 56.4835, 2005-04-07 09:50, 42000, 19.5, 0
Sell, 56.11, 2005-04-07 11:55, 42000, 19.5, -1
Buy , 56.1561, 2005-04-07 12:00, 42000, 19.5, 0
Sell, 56.1, 2005-04-07 12:50, 42000, 19.5, -1
Buy , 56.1461, 2005-04-07 12:55, 42000, 19.5, 0
Sell, 56.09, 2005-04-07 13:05, 42000, 19.5, -1
Buy , 56.1161, 2005-04-07 13:15, 42000, 19.5, 0
Sell, 56.04, 2005-04-08 09:35, 42000, 19.5, -1
Buy , 55.7056, 2005-04-08 09:50, 42000, 19.5, 0
Sell, 55.64, 2005-04-08 13:05, 42000, 19.5, -1
Buy , 55.6055, 2005-04-08 13:10, 42000, 19.5, 0
Sell, 55.55, 2005-04-11 09:55, 42000, 19.5, -1
Buy , 55.5355, 2005-04-11 10:00, 42000, 19.5, 0
Sell, 55.47, 2005-04-11 10:25, 42000, 19.5, -1
Buy , 55.5155, 2005-04-11 10:45, 42000, 19.5, 0
Buy , 56.04, 2005-04-15 13:05, 42000, 19.5, 1
Sell, 56.0539, 2005-04-15 13:15, 42000, 19.5, 0
Sell, 55.76, 2005-04-18 09:45, 42000, 19.5, -1
Buy , 55.7657, 2005-04-18 10:00, 42000, 19.5, 0
Sell, 55.71, 2005-04-18 12:40, 42000, 19.5, -1
Buy , 55.6456, 2005-04-19 09:35, 42000, 19.5, 0
Buy , 56.11, 2005-04-19 10:00, 42000, 19.5, 1
Sell, 56.2837, 2005-04-19 10:25, 42000, 19.5, 0
Buy , 56.34, 2005-04-20 09:35, 42000, 19.5, 1
Sell, 56.4835, 2005-04-20 09:40, 42000, 19.5, 0
Buy , 56.42, 2005-04-25 09:35, 42000, 19.5, 1
Sell, 56.5234, 2005-04-25 09:40, 42000, 19.5, 0
Sell, 56.04, 2005-04-26 09:35, 42000, 19.5, -1
Buy , 55.8958, 2005-04-26 09:40, 42000, 19.5, 0
Sell, 55.84, 2005-04-27 09:35, 42000, 19.5, -1
Buy , 55.7957, 2005-04-27 09:40, 42000, 19.5, 0
Sell, 55.74, 2005-04-27 09:45, 42000, 19.5, -1
Buy , 55.7657, 2005-04-27 10:15, 42000, 19.5, 0
Sell, 55.71, 2005-04-28 09:55, 42000, 19.5, -1
Buy , 55.7457, 2005-04-28 10:00, 42000, 19.5, 0
Sell, 55.67, 2005-04-28 10:05, 42000, 19.5, -1
Buy , 55.5555, 2005-04-28 10:15, 42000, 19.5, 0
Sell, 55.5, 2005-04-28 13:15, 42000, 19.5, -1
Buy , 55.5255, 2005-04-29 09:40, 42000, 19.5, 0
Buy , 55.91, 2005-04-29 12:10, 42000, 19.5, 1
Sell, 55.934, 2005-04-29 12:15, 42000, 19.5, 0
Buy , 55.99, 2005-04-29 12:20, 42000, 19.5, 1
Sell, 55.954, 2005-04-29 12:30, 42000, 19.5, 0
Buy , 55.84, 2005-05-04 11:35, 42000, 19.5, 1
Sell, 55.954, 2005-05-04 11:40, 42000, 19.5, 0
Buy , 56.01, 2005-05-04 11:50, 42000, 19.5, 1
Sell, 55.954, 2005-05-04 11:55, 42000, 19.5, 0
Buy , 56.01, 2005-05-04 12:05, 42000, 19.5, 1
Sell, 56.0839, 2005-05-04 12:20, 42000, 19.5, 0
Buy , 56.14, 2005-05-04 12:55, 42000, 19.5, 1
Sell, 56.0839, 2005-05-04 13:00, 42000, 19.5, 0
Buy , 56.14, 2005-05-06 11:30, 42000, 19.5, 1
Sell, 56.2037, 2005-05-06 11:35, 42000, 19.5, 0
Buy , 56.26, 2005-05-06 11:40, 42000, 19.5, 1
Sell, 56.2637, 2005-05-06 11:45, 42000, 19.5, 0
Buy , 56.34, 2005-05-06 13:15, 42000, 19.5, 1
Sell, 56.6833, 2005-05-09 09:40, 42000, 19.5, 0
Buy , 56.74, 2005-05-09 09:50, 42000, 19.5, 1
Sell, 56.8331, 2005-05-09 10:00, 42000, 19.5, 0
Buy , 56.89, 2005-05-09 10:20, 42000, 19.5, 1
Sell, 56.8631, 2005-05-09 10:25, 42000, 19.5, 0
Buy , 56.93, 2005-05-09 10:35, 42000, 19.5, 1
Sell, 56.8831, 2005-05-09 10:40, 42000, 19.5, 0
Sell, 56.17, 2005-05-12 09:35, 42000, 19.5, -1
Buy , 56.2262, 2005-05-12 09:40, 42000, 19.5, 0
Sell, 56.11, 2005-05-12 10:00, 42000, 19.5, -1
Buy , 56.076, 2005-05-12 10:10, 42000, 19.5, 0
Sell, 56.02, 2005-05-12 10:25, 42000, 19.5, -1
Buy , 56.046, 2005-05-12 10:35, 42000, 19.5, 0
Sell, 55.99, 2005-05-12 11:00, 42000, 19.5, -1
Buy , 56.026, 2005-05-12 11:40, 42000, 19.5, 0
Sell, 55.97, 2005-05-12 13:05, 42000, 19.5, -1
Buy , 55.7157, 2005-05-13 09:45, 42000, 19.5, 0
Sell, 55.66, 2005-05-13 10:20, 42000, 19.5, -1
Buy , 55.3953, 2005-05-13 11:30, 42000, 19.5, 0
Sell, 55.34, 2005-05-13 11:50, 42000, 19.5, -1
Buy , 55.2652, 2005-05-13 12:00, 42000, 19.5, 0
Sell, 55.21, 2005-05-16 09:35, 42000, 19.5, -1
Buy , 55.1951, 2005-05-16 09:40, 42000, 19.5, 0
Sell, 55.14, 2005-05-17 09:35, 42000, 19.5, -1
Buy , 55.1751, 2005-05-17 09:40, 42000, 19.5, 0
Sell, 55.11, 2005-05-17 09:45, 42000, 19.5, -1
Buy , 55.1251, 2005-05-17 09:50, 42000, 19.5, 0
Sell, 55.07, 2005-05-17 09:55, 42000, 19.5, -1
Buy , 55.105, 2005-05-17 10:05, 42000, 19.5, 0
Buy , 55.42, 2005-05-18 09:55, 42000, 19.5, 1
Sell, 55.3746, 2005-05-18 10:05, 42000, 19.5, 0
Buy , 55.43, 2005-05-18 10:25, 42000, 19.5, 1
Sell, 55.5144, 2005-05-18 10:35, 42000, 19.5, 0
Buy , 55.57, 2005-05-18 10:55, 42000, 19.5, 1
Sell, 55.5244, 2005-05-18 11:05, 42000, 19.5, 0
Buy , 55.58, 2005-05-18 11:10, 42000, 19.5, 1
Sell, 55.5344, 2005-05-18 11:15, 42000, 19.5, 0
Buy , 55.59, 2005-05-20 10:35, 42000, 19.5, 1
Sell, 55.6543, 2005-05-20 10:45, 42000, 19.5, 0
Buy , 55.71, 2005-05-23 09:35, 42000, 19.5, 1
Sell, 55.8541, 2005-05-23 09:40, 42000, 19.5, 0
Buy , 56.02, 2005-05-23 09:45, 42000, 19.5, 1
Sell, 56.0639, 2005-05-23 09:50, 42000, 19.5, 0
Buy , 56.12, 2005-05-23 10:05, 42000, 19.5, 1
Sell, 56.1538, 2005-05-23 10:10, 42000, 19.5, 0
Buy , 56.21, 2005-05-25 09:35, 42000, 19.5, 1
Sell, 56.3336, 2005-05-25 09:40, 42000, 19.5, 0
Buy , 56.47, 2005-05-25 09:45, 42000, 19.5, 1
Sell, 56.4335, 2005-05-25 09:50, 42000, 19.5, 0
Buy , 56.49, 2005-05-25 10:05, 42000, 19.5, 1
Sell, 56.4535, 2005-05-25 10:10, 42000, 19.5, 0
Buy , 56.51, 2005-05-25 10:30, 42000, 19.5, 1
Sell, 56.5234, 2005-05-25 10:40, 42000, 19.5, 0
Buy , 56.58, 2005-05-25 10:55, 42000, 19.5, 1
Sell, 56.5234, 2005-05-25 11:00, 42000, 19.5, 0
Buy , 56.58, 2005-05-26 09:35, 42000, 19.5, 1
Sell, 56.6333, 2005-05-26 09:40, 42000, 19.5, 0
Buy , 56.69, 2005-05-26 10:45, 42000, 19.5, 1
Sell, 56.7732, 2005-05-26 11:10, 42000, 19.5, 0
Buy , 56.83, 2005-05-26 11:50, 42000, 19.5, 1
Sell, 56.7732, 2005-05-26 11:55, 42000, 19.5, 0
Buy , 56.83, 2005-05-26 12:00, 42000, 19.5, 1
Sell, 56.993, 2005-05-26 12:30, 42000, 19.5, 0
Buy , 57.05, 2005-05-26 12:35, 42000, 19.5, 1
Sell, 56.993, 2005-05-26 12:45, 42000, 19.5, 0
Sell, 56.37, 2005-05-31 12:30, 42000, 19.5, -1
Buy , 56.3763, 2005-05-31 12:35, 42000, 19.5, 0
Sell, 56.31, 2005-05-31 13:10, 42000, 19.5, -1
Buy , 56.2662, 2005-06-01 09:40, 42000, 19.5, 0
Sell, 56.21, 2005-06-02 10:05, 42000, 19.5, -1
Buy , 56.2162, 2005-06-02 10:15, 42000, 19.5, 0
Sell, 56.16, 2005-06-02 10:25, 42000, 19.5, -1
Buy , 56.036, 2005-06-02 10:30, 42000, 19.5, 0
Sell, 55.96, 2005-06-02 11:10, 42000, 19.5, -1
Buy , 55.9959, 2005-06-02 11:25, 42000, 19.5, 0
Sell, 55.94, 2005-06-02 11:45, 42000, 19.5, -1
Buy , 55.9159, 2005-06-02 11:55, 42000, 19.5, 0
Sell, 55.86, 2005-06-02 12:00, 42000, 19.5, -1
Buy , 55.8658, 2005-06-02 12:35, 42000, 19.5, 0
Buy , 56.71, 2005-06-06 09:35, 42000, 19.5, 1
Sell, 56.7332, 2005-06-06 09:40, 42000, 19.5, 0
Sell, 56.14, 2005-06-08 09:35, 42000, 19.5, -1
Buy , 56.1661, 2005-06-08 09:40, 42000, 19.5, 0
Sell, 56.11, 2005-06-09 09:35, 42000, 19.5, -1
Buy , 55.8658, 2005-06-09 09:40, 42000, 19.5, 0
Buy , 56.44, 2005-06-13 10:05, 42000, 19.5, 1
Sell, 56.4335, 2005-06-13 10:10, 42000, 19.5, 0
Buy , 56.49, 2005-06-15 09:35, 42000, 19.5, 1
Sell, 56.7632, 2005-06-15 09:50, 42000, 19.5, 0
Buy , 56.82, 2005-06-15 10:10, 42000, 19.5, 1
Sell, 56.8331, 2005-06-15 10:15, 42000, 19.5, 0
Buy , 56.89, 2005-06-15 10:30, 42000, 19.5, 1
Sell, 57.4225, 2005-06-15 11:15, 42000, 19.5, 0
Buy , 57.48, 2005-06-16 09:35, 42000, 19.5, 1
Sell, 57.6023, 2005-06-16 09:40, 42000, 19.5, 0
Buy , 57.66, 2005-06-16 10:45, 42000, 19.5, 1
Sell, 57.6523, 2005-06-16 10:50, 42000, 19.5, 0
Buy , 57.72, 2005-06-17 09:50, 42000, 19.5, 1
